,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
performance.xgb.syn_id,0.6064095507470066,0.6064095507470066,0.6064095507470066,0.0,0.6064095507470066,0.0,2,0,1.81,maximize
performance.xgb.syn_ood,0.6065940406774954,0.6065940406774954,0.6065940406774954,0.0,0.6065940406774954,0.0,2,0,1.81,maximize
performance.feat_rank_distance.corr,-0.009009155672479584,-0.009009155672479584,-0.009009155672479584,0.0,-0.009009155672479584,0.0,2,0,1.07,minimize
performance.feat_rank_distance.pvalue,0.592981860544135,0.592981860544135,0.592981860544135,0.0,0.592981860544135,0.0,2,0,1.07,minimize
detection.detection_xgb.mean,1.0,1.0,1.0,0.0,1.0,0.0,2,0,0.06,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,2,0,3.96,minimize
detection.detection_gmm.mean,0.5486520161340911,0.5486520161340911,0.5486520161340911,0.0,0.5486520161340911,0.0,2,0,0.42,minimize
detection.detection_linear.mean,0.9919917635841268,0.9919917635841268,0.9919917635841268,0.0,0.9919917635841268,0.0,2,0,1.01,minimize
privacy.delta-presence.score,17.666666607777778,17.666666607777778,17.666666607777778,0.0,17.666666607777778,0.0,2,0,1.78,maximize
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,2,0,3.63,maximize
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,2,0,3.63,maximize
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,2,0,2.01,maximize
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,2,0,3.84,maximize
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,2,0,3.84,maximize
privacy.identifiability_score.score,0.24130879345603273,0.24130879345603273,0.24130879345603273,0.0,0.24130879345603273,0.0,2,0,0.04,minimize
privacy.identifiability_score.score_OC,0.009713701431492843,0.009713701431492843,0.009713701431492843,0.0,0.009713701431492843,0.0,2,0,0.04,minimize
privacy.DomiasMIA_BNAF.accuracy,0.5,0.5,0.5,0.0,0.5,0.0,2,0,229.23,minimize
privacy.DomiasMIA_BNAF.aucroc,0.5225517770391204,0.5225517770391204,0.5225517770391204,0.0,0.5225517770391204,0.0,2,0,229.23,minimize
