,Quiz01 [10],Assignment01 [8],Midterm Exam [20],Assignment02 [12],Assignment03 [25],Final Exam [35],# Logins,# Content Reads,# Forum Reads,# Forum Posts,# Quiz Reviews before submission,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Average time to submit assignment (in hours)
31,80,89,93,93,83,71,100,208,0,0,2,0,0,0,231.86111
32,100,84,68,91,90,66,87,255,0,0,1,0,0,0,283.16667
33,75,67,80,70,82,0,69,231,0,0,0,0,0,0,251.36667
34,80,0,73,0,0,54,60,442,0,0,1,0,0,0,280.45556
35,80,88,85,92,93,76,87,304,0,0,1,0,1,0,222.48333
36,80,85,85,82,82,71,88,301,0,0,2,0,0,0,282.94444
37,100,84,90,93,90,63,95,301,0,0,2,0,0,0,253.64444
38,80,76,90,82,95,83,91,226,0,0,0,0,0,0,246.72222
39,80,77,88,74,82,57,61,359,0,0,3,0,0,0,246.24444
40,85,77,88,83,86,47,67,166,0,0,0,0,0,0,261.49444
41,80,80,85,80,82,81,85,265,0,0,2,0,0,0,85.64444
42,80,71,70,69,77,66,80,231,0,0,1,0,0,0,65.06667
43,95,61,75,66,86,57,92,385,0,0,3,0,0,0,132.92222
44,70,82,73,86,75,69,46,405,0,0,1,0,0,0,241.73889
45,70,66,83,68,70,49,57,258,0,0,0,0,0,0,272.51111
46,70,79,88,97,96,76,87,166,0,0,0,0,0,0,288.03333
47,70,0,80,0,89,83,83,202,0,0,4,0,0,0,248.11111
48,70,69,70,69,71,69,62,247,0,0,0,0,0,0,62.2
49,80,70,75,85,95,66,56,239,0,0,4,0,0,0,221.99444
50,80,83,70,91,76,77,74,213,0,0,2,0,0,0,142.67222
51,70,61,63,66,68,33,65,142,40,0,1,0,0,0,259.49444
52,85,59,78,83,80,63,61,162,0,0,1,0,0,0,60.61111
53,80,79,68,77,86,39,42,339,0,0,1,0,0,0,83.74444
54,75,81,88,76,84,73,80,239,0,0,1,0,0,0,54.84444
55,85,66,80,68,80,70,78,305,0,0,0,0,0,0,238.50556
56,80,74,65,70,77,71,75,228,0,0,6,0,0,0,231.31111
57,75,86,88,88,84,73,90,169,0,0,1,0,0,0,218.57778
58,70,0,0,0,0,0,58,339,0,0,1,0,0,0,283.16667
59,70,75,80,70,79,67,75,229,0,0,2,0,0,0,241.73889
60,80,78,80,85,84,70,65,239,0,0,2,0,0,0,277.27222
61,85,93,85,84,91,76,92,218,0,0,0,0,0,0,116.76111
62,100,86,73,86,83,73,92,342,0,0,2,0,0,0,277.49444
63,70,58,80,68,70,74,70,298,0,0,0,0,0,0,275.45556
64,80,76,63,84,77,66,51,251,0,0,3,0,0,0,246.24444
65,70,69,47,69,70,66,63,431,0,0,2,0,0,0,134.72222
66,80,84,73,79,80,69,69,192,0,0,5,0,0,0,129.96667
67,80,70,55,59,70,53,62,229,0,0,2,0,0,0,260.72778
68,0,80,80,0,80,69,85,434,0,0,0,0,0,0,146.13889
69,75,76,80,69,86,69,58,517,0,0,0,0,0,0,246.66667
70,80,84,85,84,82,71,66,306,0,0,4,0,0,0,280.84444
71,85,85,80,93,83,66,100,413,0,0,2,0,0,0,89.41667
72,75,66,63,63,76,46,66,217,0,0,1,0,0,0,92.65556
73,90,72,80,87,92,79,75,216,0,0,7,0,0,0,96.38333
74,95,92,83,85,92,66,66,192,1,0,1,0,0,0,359.92778
75,70,86,80,79,80,61,61,166,0,0,2,0,0,0,246.82222
76,90,73,88,88,82,74,65,339,0,0,1,0,0,0,86.52778
77,80,73,85,76,76,79,76,315,0,0,2,0,0,0,308.47778
78,80,95,88,87,87,53,123,160,0,0,2,0,0,0,81.61111
79,70,78,88,72,74,59,70,238,0,0,2,0,0,0,222.48333
80,70,88,85,84,93,84,88,177,0,0,0,0,0,0,106.7
81,100,94,83,83,95,73,90,231,0,0,1,0,0,0,282.94444
82,75,74,73,75,77,43,70,339,0,0,1,0,0,0,253.64444
83,70,91,68,87,87,70,87,216,0,0,1,0,0,0,246.72222
84,70,84,85,84,77,73,43,305,0,0,4,1,1,1,261.49444
85,70,77,85,75,77,81,78,169,0,0,3,0,0,0,65.06667
86,75,93,73,89,83,44,31,360,0,0,0,0,0,0,100.72222
87,80,77,65,81,77,64,85,471,0,0,1,0,0,0,132.92222
88,75,84,78,89,90,70,61,434,0,0,5,0,0,0,272.51111
89,80,93,90,88,87,60,74,166,0,0,1,0,0,0,64.87778
90,100,94,90,91,98,73,90,279,0,0,4,0,0,0,100.31667
91,80,96,88,79,91,73,70,231,0,0,2,0,0,0,248.11111
92,75,86,73,78,84,66,72,169,0,0,1,0,0,0,62.2
93,85,77,88,76,73,47,61,246,0,0,2,0,0,0,142.67222
94,85,89,80,90,87,70,63,192,0,0,0,0,0,0,82.54444
95,70,75,75,76,64,66,71,231,0,0,3,0,0,0,97.61667
96,70,65,70,85,82,41,70,292,0,0,2,0,0,0,240.12778
97,70,74,63,69,72,59,81,396,0,0,0,0,0,0,241.95556
98,95,70,63,66,82,47,42,195,0,0,2,0,0,0,83.74444
99,95,83,75,81,79,43,55,160,1,0,2,0,0,0,54.84444
100,75,84,85,91,92,81,100,177,0,0,1,0,0,0,238.50556
101,75,83,80,83,82,50,67,206,0,0,1,0,0,0,116.29444
102,70,91,80,86,78,46,117,394,0,0,0,0,0,0,218.57778
103,75,83,83,82,76,64,123,339,0,0,0,0,0,0,116.76111
104,80,88,60,90,81,57,75,160,0,0,0,0,0,0,279.47778
105,85,90,85,92,86,61,80,160,0,0,1,0,0,0,129.96667
106,70,64,70,70,80,31,55,165,0,0,1,0,0,0,260.72778
107,80,70,80,75,80,60,67,342,0,0,1,0,0,0,250.57778
108,70,74,80,75,85,73,85,134,0,0,1,0,0,0,124.78333
109,70,65,85,68,75,69,59,251,0,0,4,0,0,0,69.64444
110,80,71,68,78,78,64,51,399,0,0,2,0,0,0,280.84444
111,85,87,90,91,91,90,100,396,0,0,0,0,0,0,96.38333
112,70,71,73,73,66,53,47,469,0,0,3,0,0,0,131.00556
113,80,81,90,82,93,67,91,177,0,0,2,0,0,0,282.67778
114,70,90,95,82,83,73,87,238,0,0,1,0,0,0,83.56667
115,75,92,78,78,82,76,91,442,0,0,1,0,0,0,359.92778
116,85,88,75,89,93,61,98,216,0,0,2,0,0,0,86.52778
117,85,68,80,81,78,69,91,511,0,0,0,0,0,0,308.47778
118,85,60,83,87,83,73,85,250,0,0,1,0,0,0,251.36667
119,70,73,85,86,83,56,47,200,0,0,0,0,0,0,139.85
120,70,64,88,84,78,60,83,240,0,0,3,0,0,0,119.83333
121,75,67,85,78,90,44,46,163,0,0,3,0,0,1,106.7
122,75,78,90,67,66,63,74,166,0,0,1,0,0,0,282.94444
123,85,93,63,93,87,57,85,360,0,0,0,0,0,0,133.31111
124,70,88,73,78,91,39,93,151,0,0,2,0,0,0,253.64444
125,80,87,85,82,86,67,67,231,0,0,1,0,0,0,246.72222
126,80,79,80,73,79,56,70,217,0,0,2,0,0,0,136.66667
127,80,93,90,90,94,53,95,279,0,0,0,0,0,0,104.14444
128,70,78,85,86,82,56,72,216,0,0,2,0,0,0,253.99444
129,95,85,85,91,85,71,91,251,0,0,1,0,0,0,261.49444
130,70,92,88,82,90,68,72,584,0,0,2,0,0,0,85.64444
131,90,74,78,74,79,69,83,216,0,0,1,0,0,0,100.72222
132,70,78,63,78,82,33,66,476,0,0,2,0,0,0,64.22222
133,75,62,73,61,75,51,78,206,0,0,2,0,0,0,132.92222
134,70,94,88,89,90,61,62,173,0,0,2,0,0,0,288.03333
135,75,80,75,83,85,57,54,191,0,0,0,0,0,0,248.11111
136,75,93,78,81,66,60,38,279,0,0,1,0,0,0,77.56667
137,70,85,85,80,90,79,87,286,0,0,0,0,0,0,142.67222
138,80,88,85,78,84,80,90,179,0,0,0,0,0,0,60.61111
139,70,0,85,0,0,74,80,342,0,0,8,0,0,0,241.95556
140,75,57,78,70,74,41,54,359,0,0,2,0,0,0,54.84444
141,75,79,80,85,86,60,79,234,0,0,0,0,0,0,231.31111
142,70,84,80,79,80,71,61,166,0,0,0,0,0,0,246.24444
143,75,70,75,76,91,46,78,359,0,0,1,0,0,0,134.72222
144,70,68,78,79,81,74,59,399,0,0,2,0,0,0,129.96667
145,80,78,68,89,94,69,82,223,0,0,0,0,0,0,99.52778
146,75,0,88,0,93,71,0,218,0,0,2,0,0,0,64.87778
147,75,85,83,89,92,61,73,162,0,0,2,0,0,0,250.57778
148,85,84,90,85,88,76,90,275,0,0,3,0,0,0,276.76111
149,80,85,80,84,85,60,110,197,0,0,2,0,0,0,69.90556
150,80,66,70,41,75,60,71,333,0,0,3,0,0,0,246.66667
151,85,80,85,87,83,70,92,195,0,0,0,1,0,0,280.84444
152,75,93,93,93,73,73,56,192,1,0,1,0,0,0,89.41667
153,70,88,88,89,87,69,89,305,0,0,3,0,0,0,96.38333
154,90,95,85,89,95,81,80,279,0,0,0,0,0,0,83.56667
155,80,88,85,80,86,84,90,206,0,0,2,0,0,0,359.92778
156,80,79,80,80,82,63,90,217,0,0,1,0,0,0,47.69444
157,65,69,80,74,85,70,54,462,0,0,2,0,0,0,246.82222
158,70,83,80,81,83,76,90,344,0,0,5,0,0,0,86.52778
159,85,90,88,77,87,56,97,197,0,0,0,0,0,0,242.23889
160,75,84,70,78,85,43,72,304,0,0,3,0,0,0,251.36667
161,85,95,88,83,76,70,129,511,0,0,3,0,0,0,106.7
162,80,88,80,89,90,60,72,165,0,0,0,0,0,0,282.94444
163,70,66,63,74,65,41,70,196,0,0,2,0,0,0,246.72222
164,90,87,70,86,89,66,87,169,0,0,0,0,0,0,136.66667
165,80,86,85,81,88,68,68,206,0,0,2,0,0,0,246.24444
166,70,80,85,80,90,44,75,442,0,0,0,0,0,0,85.64444
167,100,77,68,69,86,63,86,169,0,0,0,0,0,0,246.47222
168,75,91,88,93,91,76,110,160,0,0,0,0,0,0,65.06667
169,85,0,80,68,70,60,78,239,0,0,2,0,0,0,100.31667
170,70,87,75,79,84,73,88,229,0,0,2,0,0,0,288.03333
171,90,89,90,90,93,84,123,247,0,0,0,0,0,0,62.2
172,70,68,85,71,84,80,69,442,0,0,1,0,0,0,77.56667
173,70,82,80,89,93,71,67,177,0,0,3,0,0,0,83.70556
174,85,93,75,86,91,63,92,396,0,0,0,0,0,0,238.35
175,80,73,85,74,86,73,92,339,0,0,4,0,0,0,97.61667
176,70,85,80,88,88,60,63,315,0,0,0,0,0,0,240.12778
177,75,68,78,74,93,73,69,192,0,0,1,0,0,0,241.95556
178,80,78,75,78,78,56,78,228,0,0,1,0,0,0,83.74444
179,85,83,88,79,93,69,70,213,0,0,1,0,0,0,116.29444
180,85,85,73,87,91,70,55,399,0,0,0,0,0,0,241.73889
181,75,86,73,77,74,64,93,151,0,0,0,0,0,0,116.76111
182,70,82,70,82,87,50,60,319,0,0,0,0,0,0,277.49444
183,80,67,65,86,86,36,77,194,0,0,3,0,0,0,246.24444
184,85,71,68,78,71,44,78,342,0,0,0,0,0,0,134.72222
185,75,86,83,82,78,40,55,230,0,0,3,0,0,0,260.72778
186,80,88,85,76,91,76,110,228,0,0,2,0,0,0,86.24444
187,85,80,88,82,96,51,90,196,0,0,3,0,0,0,108.85556
188,75,83,75,66,85,50,55,320,0,0,0,0,0,0,64.87778
189,75,75,90,73,69,49,94,216,0,0,1,0,0,0,146.13889
190,70,82,70,89,85,81,50,413,0,0,1,0,0,0,96.38333
191,70,88,90,81,86,71,66,319,0,0,1,0,0,0,131.00556
192,85,85,85,85,94,53,58,359,0,0,0,0,0,0,246.82222
193,85,81,83,95,87,60,98,160,0,0,2,0,0,0,86.52778
194,70,84,85,81,82,64,55,251,0,0,1,0,0,0,308.47778
195,80,86,95,84,91,74,56,464,0,0,3,0,0,0,82.54444
196,75,83,80,81,69,64,54,260,0,0,2,0,0,0,139.85
197,0,86,80,75,80,70,93,177,0,0,2,0,0,0,222.48333
198,70,91,78,73,80,76,81,239,0,0,0,0,0,0,282.94444
199,90,76,83,71,68,47,62,265,1,1,5,0,0,0,246.72222
200,80,78,85,89,83,71,70,219,0,0,0,0,0,0,136.66667
201,85,79,88,91,70,50,67,194,11,0,3,0,0,0,270.77222
202,80,80,70,74,72,71,65,216,0,0,1,0,0,0,261.49444
203,90,85,90,90,83,74,90,239,0,0,1,0,1,0,85.64444
204,100,78,78,83,82,71,61,454,0,0,0,0,0,0,65.06667
205,90,94,83,81,91,79,69,439,0,0,3,0,0,0,100.72222
206,80,83,90,84,95,67,65,298,0,0,1,0,0,0,64.22222
207,80,84,90,91,95,73,62,223,0,0,3,0,0,0,277.61111
208,70,79,90,87,80,64,90,219,0,0,3,0,0,0,288.03333
209,75,84,78,83,91,57,55,442,0,0,2,0,0,0,77.56667
210,85,80,85,89,93,60,61,160,0,0,1,1,0,0,177.46111
211,80,77,83,82,88,81,76,394,0,0,3,0,0,0,241.83333
212,80,83,83,83,89,69,76,298,0,0,0,0,0,0,97.61667
213,70,91,85,91,83,80,113,358,0,0,3,0,0,0,240.12778
214,85,87,83,84,82,73,67,223,0,0,0,0,0,0,259.49444
215,90,84,80,72,86,70,63,315,0,0,1,0,0,0,83.74444
216,80,83,85,91,87,53,62,189,0,0,1,0,0,0,54.84444
217,80,79,75,79,80,57,76,235,0,0,0,0,0,0,378.60556
218,80,91,73,79,90,76,99,213,0,0,0,0,0,0,241.73889
219,80,73,80,80,78,73,88,192,0,0,2,0,0,0,277.27222
220,70,59,80,70,77,74,58,169,0,0,0,0,0,0,275.45556
221,85,73,88,83,86,81,61,169,0,0,0,0,0,0,134.72222
222,75,67,75,82,77,67,78,612,1,0,1,0,0,0,129.96667
223,80,84,80,90,91,86,86,223,0,0,3,0,0,0,99.52778
224,80,60,70,60,72,74,67,169,0,0,0,0,0,0,108.85556
225,75,88,85,89,84,81,97,476,0,0,0,0,0,0,64.87778
226,75,86,90,90,88,70,62,229,0,0,5,0,0,0,250.57778
227,80,74,63,78,72,36,46,320,0,0,0,0,0,0,276.76111
228,75,73,68,78,83,44,63,249,0,0,2,0,0,0,69.90556
229,85,76,80,78,84,51,108,251,0,0,0,0,0,0,280.84444
230,80,85,90,88,91,71,69,238,0,0,0,0,0,0,126.78333
231,70,81,88,87,91,66,69,394,1,1,2,0,0,0,131.00556
232,85,83,85,84,83,80,97,142,0,0,2,0,0,0,83.56667
233,70,88,78,78,90,69,78,258,0,0,5,0,0,0,359.92778
234,75,80,73,85,78,61,61,228,0,0,1,0,0,0,47.69444
235,75,0,40,1,0,71,75,315,0,0,1,0,0,0,246.82222
236,85,80,78,68,66,60,74,191,0,0,4,0,0,0,86.52778
237,90,87,75,84,84,44,31,177,0,0,1,0,0,0,251.36667
238,80,55,68,79,70,43,61,206,0,0,0,0,0,0,282.94444
239,80,93,80,97,92,67,81,217,0,0,1,0,0,0,246.72222
240,80,61,80,76,68,83,66,434,0,0,0,0,0,0,253.99444
241,80,91,80,83,90,71,31,442,0,0,1,0,0,0,261.49444
242,80,93,85,86,90,66,97,358,0,0,4,0,0,0,85.64444
243,80,73,58,66,83,53,62,476,0,0,1,0,0,0,65.06667
244,100,67,85,69,76,50,52,229,0,0,3,0,0,0,100.72222
245,85,61,63,68,80,36,36,286,0,0,0,0,0,0,64.22222
246,70,79,68,78,88,49,58,184,0,0,2,0,0,0,132.92222
247,100,73,70,83,76,46,62,190,0,0,4,0,0,0,241.73889
248,80,66,68,68,70,43,60,275,0,0,2,0,0,0,272.51111
249,80,64,83,63,83,39,31,400,0,0,0,0,0,0,64.87778
250,70,92,93,89,89,71,69,183,0,0,1,0,0,0,62.2
251,80,84,80,83,72,70,63,216,0,0,1,0,0,0,221.99444
252,80,90,93,83,83,76,93,206,0,0,0,0,0,0,83.70556
253,75,91,90,92,72,61,55,177,0,0,3,0,0,0,142.67222
254,85,78,83,77,84,76,79,319,0,0,0,0,0,0,177.46111
255,80,93,90,93,93,93,74,169,0,0,1,0,0,0,97.61667
256,80,97,80,69,90,80,66,206,0,0,0,0,0,0,240.12778
257,90,89,80,84,91,73,80,230,0,0,3,0,0,0,259.49444
258,80,83,85,80,85,67,63,476,0,0,1,0,0,0,60.61111
259,80,78,75,76,82,54,67,165,0,0,0,0,0,0,241.95556
260,75,81,75,71,74,47,72,177,0,0,1,0,0,0,83.74444
261,75,79,70,57,76,64,62,315,0,0,4,0,0,0,54.84444
262,80,91,80,87,88,66,75,216,0,0,2,0,0,0,378.60556
263,85,76,73,72,72,73,55,240,0,0,2,0,0,0,241.73889
264,80,70,70,81,80,66,67,200,0,0,1,0,0,0,334.01111
265,85,92,80,88,92,71,61,200,0,0,1,0,0,0,134.72222
266,75,74,80,76,71,69,72,356,0,0,0,0,0,0,260.72778
267,85,89,80,85,85,71,96,286,0,0,2,0,0,0,99.52778
268,70,91,85,87,63,69,62,150,0,0,0,0,0,0,108.85556
269,75,66,88,68,85,56,61,190,0,0,1,0,0,0,64.87778
270,70,76,80,80,77,64,76,219,0,0,1,0,0,0,250.57778
271,90,86,88,84,88,71,90,166,0,0,0,0,0,0,146.13889
272,90,91,93,89,87,73,61,265,0,0,1,0,0,0,280.84444
273,80,78,60,71,66,60,56,177,0,0,3,0,0,0,96.38333
274,85,88,78,83,92,69,65,270,0,0,0,0,0,0,282.67778
275,75,68,72,65,70,66,75,248,0,0,2,1,1,0,359.92778
276,80,79,75,90,75,63,62,585,0,0,2,0,0,0,86.52778
277,80,79,78,93,72,61,78,206,0,0,1,0,0,0,82.54444
278,85,87,88,83,83,67,78,159,0,0,0,0,0,0,282.94444
279,95,81,90,94,86,73,113,431,0,0,2,0,0,0,246.72222
280,85,86,78,82,83,73,91,360,0,0,3,0,0,0,104.14444
281,85,86,88,75,92,71,45,160,0,0,1,0,0,0,246.47222
282,70,91,80,81,84,69,62,344,0,0,5,0,0,0,100.72222
283,75,55,77,80,90,60,58,258,0,0,1,0,0,0,64.22222
284,75,72,85,86,86,73,85,511,0,0,5,0,0,0,132.92222
285,80,87,90,93,91,84,90,177,0,0,0,0,0,0,241.73889
286,90,81,90,86,68,69,74,239,0,0,0,0,0,0,100.31667
287,70,73,63,80,87,69,82,298,0,0,1,0,0,0,288.03333
288,75,64,63,60,80,59,76,195,0,0,2,0,0,0,77.56667
289,75,91,90,90,91,76,95,342,0,0,3,0,0,0,221.99444
290,70,89,83,84,89,63,97,413,0,0,1,0,0,0,177.46111
291,80,90,90,88,98,60,89,177,0,0,0,0,0,0,238.35
292,80,89,88,87,80,83,72,208,0,0,1,0,0,0,279.46667
293,70,89,85,94,92,81,71,177,0,0,2,0,0,0,83.74444
294,70,86,85,89,88,60,84,197,0,0,1,0,0,0,54.84444
295,85,78,85,79,88,70,62,262,1,1,1,0,0,1,231.31111
296,70,75,88,71,81,69,72,166,0,0,1,0,0,0,218.57778
297,80,90,78,79,74,49,66,223,0,0,0,0,0,0,241.73889
298,75,91,85,72,85,51,62,240,0,0,2,0,0,0,344.13333
299,80,56,75,74,84,76,93,177,0,0,3,0,0,0,116.76111
300,70,77,83,81,85,70,75,196,0,0,2,0,0,0,134.72222
301,80,86,78,73,83,53,47,194,0,0,6,0,0,0,129.96667
302,85,83,73,73,84,71,117,339,0,0,2,0,0,0,99.52778
303,75,70,88,68,84,64,55,229,0,0,2,0,0,0,108.85556
304,70,82,88,80,83,71,33,151,0,0,1,0,0,0,58.22778
305,70,79,80,87,79,61,73,330,0,0,1,0,0,0,69.64444
306,80,69,70,68,63,61,62,358,0,0,2,0,0,0,276.76111
307,70,89,90,90,85,79,98,163,0,0,1,0,0,0,246.66667
308,90,86,93,91,89,73,100,298,1,0,3,0,0,0,126.78333
309,75,69,88,82,83,61,83,661,0,0,3,0,0,0,96.38333
310,75,70,80,73,78,53,58,229,0,0,5,0,0,0,89.41667
311,75,91,80,79,87,61,61,202,0,0,2,0,0,0,359.92778
312,85,93,73,79,80,54,85,238,0,0,2,0,0,0,246.82222
313,70,96,85,82,95,57,85,396,0,0,1,0,0,0,242.23889
314,75,84,70,87,88,63,76,230,0,0,4,0,0,0,280.45556
315,70,90,85,87,92,74,86,288,0,0,2,0,0,0,139.85
316,90,82,63,81,94,66,117,339,0,0,3,0,0,0,222.48333
317,80,70,88,82,88,60,76,360,0,0,2,0,0,0,253.64444
318,65,78,83,81,83,61,65,611,0,0,2,0,0,0,246.72222
319,75,84,83,78,86,74,69,216,0,0,0,0,0,0,136.66667
320,75,80,70,80,80,83,56,405,0,0,1,0,0,0,246.47222
321,75,79,80,92,83,73,68,476,0,0,3,0,0,0,100.72222
322,90,79,63,78,79,34,70,642,0,0,3,0,0,0,64.22222
323,70,80,73,68,89,64,58,184,0,0,0,0,0,0,241.73889
324,70,79,93,86,84,83,76,192,0,0,1,0,0,0,100.31667
325,80,74,60,70,69,60,75,100,0,0,2,0,0,0,288.03333
326,70,66,70,80,80,80,70,184,0,0,4,0,0,0,248.11111
327,75,91,75,79,97,71,31,228,0,0,3,0,0,0,77.56667
328,70,66,63,75,74,43,46,169,0,0,3,0,0,0,221.99444
329,65,61,60,68,68,53,31,359,0,0,3,0,0,0,142.67222
330,80,69,88,84,78,59,101,279,0,0,0,0,0,0,241.83333
331,80,89,93,70,88,81,62,226,0,0,1,0,0,0,82.54444
332,85,90,83,79,82,83,61,511,0,0,1,0,0,0,279.46667
333,70,65,78,88,85,66,46,359,0,0,4,0,0,0,241.95556
334,70,0,80,1,0,60,70,438,0,0,1,0,0,0,83.74444
335,80,91,85,89,90,70,76,226,0,0,1,0,0,0,283.16667
336,80,71,53,69,71,73,60,239,0,0,0,0,0,0,241.73889
337,100,82,75,68,78,73,88,184,0,0,2,0,0,0,334.01111
338,85,86,75,78,84,67,67,160,0,0,3,0,0,0,279.47778
339,80,69,70,85,72,70,80,192,0,0,2,0,0,0,246.24444
340,85,73,70,74,74,51,66,216,0,0,1,0,0,0,134.72222
341,90,72,80,81,78,60,46,576,0,0,1,0,0,0,129.96667
342,100,91,85,91,98,74,117,342,0,0,3,0,0,0,260.72778
343,70,74,88,79,83,77,85,361,0,0,0,0,0,0,99.52778
344,80,0,83,82,85,50,31,230,0,0,4,0,0,0,108.85556
345,85,71,80,92,90,74,90,240,0,0,0,0,0,0,64.87778
346,80,91,90,82,86,71,70,160,0,0,2,0,0,0,250.57778
347,80,84,80,68,87,66,64,342,0,0,1,0,0,0,58.22778
348,80,84,65,78,88,63,76,238,0,0,1,0,0,1,280.84444
349,90,81,58,68,68,53,53,192,0,0,3,0,0,0,126.78333
350,75,71,90,94,80,63,64,280,0,0,1,0,0,0,96.38333
351,80,83,80,92,93,60,105,247,0,0,2,0,0,0,83.56667
352,85,73,70,65,75,53,55,442,0,0,0,0,0,0,359.92778
353,70,66,63,63,73,66,61,344,0,0,0,0,0,0,47.69444
354,80,93,83,84,82,70,92,359,0,0,2,0,0,0,246.82222
355,80,84,75,83,92,63,89,305,0,0,8,0,0,0,86.52778
356,95,81,78,73,79,64,82,170,0,0,3,0,0,0,308.47778
357,70,33,45,40,68,41,36,405,0,0,2,0,0,0,251.36667
358,85,89,85,88,88,64,75,192,7,0,1,0,0,0,81.61111
359,90,83,85,89,96,70,59,228,0,0,3,0,0,0,222.48333
360,90,89,83,91,91,83,76,286,0,0,4,0,0,0,282.94444
361,80,66,90,84,87,0,98,159,0,0,1,0,0,0,133.31111
362,70,69,88,68,67,64,92,511,0,0,1,0,0,0,246.72222
363,90,86,93,83,81,60,98,250,0,0,0,0,0,0,136.66667
364,80,61,88,88,88,60,58,240,0,0,1,0,0,0,253.99444
365,75,81,73,66,82,64,31,200,0,0,2,0,0,0,85.64444
366,80,90,88,87,88,61,81,262,0,0,1,0,0,0,65.06667
367,80,80,83,81,82,71,55,611,0,0,1,0,0,0,241.73889
368,70,62,85,69,66,44,33,340,0,0,1,0,0,0,277.61111
369,70,69,78,76,82,76,55,359,0,0,2,0,0,0,100.31667
370,85,83,80,79,90,73,90,218,0,0,1,0,0,0,288.03333
371,80,80,73,85,100,70,90,279,0,0,1,0,0,0,83.8
372,70,82,73,75,81,54,53,461,0,0,2,0,0,0,77.56667
373,85,82,78,84,82,57,65,319,0,0,3,0,0,0,82.54444
374,75,66,83,77,77,61,67,396,0,0,0,0,0,0,279.46667
375,85,88,80,81,88,51,76,421,0,0,2,0,0,0,60.61111
376,80,89,80,83,87,79,78,188,0,0,1,0,0,0,241.95556
377,80,81,54,70,94,51,55,177,0,0,0,0,0,0,83.74444
378,70,78,68,68,70,64,58,286,0,0,1,0,0,0,54.84444
379,85,85,70,75,68,33,42,243,0,0,2,0,0,0,238.50556
380,85,79,80,81,85,50,99,258,0,0,0,0,0,0,231.31111
381,90,88,80,87,87,73,69,486,0,0,1,0,0,0,116.29444
382,85,86,80,74,90,90,76,206,0,0,5,0,0,0,218.57778
383,80,80,83,81,82,70,61,494,0,0,5,0,0,0,283.16667
384,70,54,90,87,78,83,97,344,0,0,4,0,0,0,378.60556
385,65,69,73,86,84,61,65,385,0,0,2,0,0,0,241.73889
386,70,69,83,86,82,58,68,206,0,0,2,0,0,0,344.13333
387,60,65,65,63,63,71,87,247,0,0,2,0,0,0,116.76111
388,80,0,75,0,0,76,87,177,0,0,1,0,0,0,279.47778
389,80,85,90,91,92,73,85,173,0,0,3,0,0,0,140.35556
390,90,81,80,81,86,64,69,511,0,0,0,0,0,0,275.45556
