,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
45,BBB,2014J,548671,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass
46,BBB,2013J,652953,F,North Region,A Level or Equivalent,0-10%,35-55,0,60,N,Fail
47,GGG,2014B,528146,M,South Region,Lower Than A Level,60-70%,0-35,0,30,N,Pass
48,DDD,2014B,649096,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Distinction
49,FFF,2014J,2627685,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
50,DDD,2014B,2464918,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
51,FFF,2013J,686089,F,South East Region,A Level or Equivalent,40-50%,0-35,0,120,N,Distinction
52,DDD,2013J,491810,M,South East Region,A Level or Equivalent,50-60%,0-35,0,120,N,Withdrawn
53,DDD,2013J,484305,M,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
54,CCC,2014B,653694,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,90,N,Pass
55,BBB,2014J,626246,F,North Western Region,HE Qualification,10-20,0-35,0,60,N,Withdrawn
56,BBB,2013J,605771,F,East Anglian Region,Lower Than A Level,10-20,35-55,0,120,N,Fail
57,BBB,2014B,597851,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn
58,DDD,2013J,550090,F,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
59,FFF,2014J,634159,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
60,BBB,2014J,623263,F,South Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
61,FFF,2013B,588207,M,North Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
62,CCC,2014B,604990,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass
63,CCC,2014J,534124,M,Scotland,Lower Than A Level,30-40%,0-35,0,60,N,Pass
64,BBB,2013B,282271,F,South West Region,Lower Than A Level,30-40%,0-35,0,90,N,Fail
65,BBB,2014J,624585,F,North Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
66,BBB,2013B,654923,F,West Midlands Region,Lower Than A Level,30-40%,35-55,0,90,N,Withdrawn
67,CCC,2014J,420071,M,Ireland,Lower Than A Level,60-70%,0-35,0,60,N,Fail
68,FFF,2014J,648119,M,North Region,Lower Than A Level,70-80%,0-35,0,120,N,Fail
69,DDD,2013J,627279,M,South Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass
70,BBB,2013J,562963,F,East Anglian Region,HE Qualification,30-40%,0-35,0,60,Y,Fail
71,AAA,2013J,687302,F,East Midlands Region,HE Qualification,50-60%,0-35,0,120,N,Withdrawn
72,CCC,2013J,654928,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
73,FFF,2014J,583694,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
74,DDD,2013J,587510,F,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Fail
75,DDD,2013J,687384,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,180,N,Pass
76,FFF,2013B,57789,M,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Pass
77,BBB,2014J,54445,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
78,DDD,2014J,599398,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
79,FFF,2014B,585377,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
80,DDD,2013J,678119,F,East Anglian Region,Lower Than A Level,10-20,0-35,0,120,N,Pass
81,BBB,2013J,621201,F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
82,DDD,2013J,654141,M,Scotland,Lower Than A Level,40-50%,0-35,0,60,N,Pass
83,CCC,2014J,623333,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
84,BBB,2014B,693053,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass
85,CCC,2014B,685957,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
86,GGG,2013J,695673,M,West Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
87,FFF,2014B,573434,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
88,BBB,2013B,585668,F,North Region,Lower Than A Level,30-40%,0-35,0,150,N,Withdrawn
89,FFF,2014B,579346,M,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
90,AAA,2013B,584205,M,London Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
91,BBB,2014B,606602,F,North Western Region,Lower Than A Level,0-10%,0-35,1,60,N,Pass
92,BBB,2013J,634899,F,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
93,GGG,2014B,495560,F,North Western Region,No Formal quals,40-50%,0-35,0,30,N,Fail
94,BBB,2013B,141447,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,90,N,Distinction
95,FFF,2013J,559268,F,North Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
96,AAA,2013J,591806,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
97,CCC,2013B,676243,F,Scotland,Lower Than A Level,60-70%,0-35,0,60,N,Fail
98,BBB,2013B,589757,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,120,N,Fail
99,BBB,2014B,617705,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Withdrawn
100,CCC,2014J,679663,M,East Anglian Region,Lower Than A Level,10-20,35-55,1,60,N,Pass
101,DDD,2014J,634899,F,Wales,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn
102,BBB,2013B,624430,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
103,DDD,2014J,634254,F,South East Region,HE Qualification,10-20,35-55,0,60,N,Pass
104,BBB,2013J,506805,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
105,BBB,2014J,583631,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
106,BBB,2013B,686128,F,East Midlands Region,Lower Than A Level,80-90%,35-55,0,60,N,Fail
107,DDD,2013J,633271,F,South West Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
108,FFF,2014J,575253,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
109,FFF,2014J,469339,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
110,AAA,2014J,2327019,M,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass
111,BBB,2014J,627441,M,North Western Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
112,BBB,2014J,686753,F,North Western Region,HE Qualification,10-20,35-55,0,60,N,Fail
113,BBB,2014J,392643,M,North Western Region,Lower Than A Level,10-20,35-55,0,120,N,Pass
114,BBB,2014J,589389,F,South West Region,A Level or Equivalent,90-100%,0-35,0,90,N,Withdrawn
115,GGG,2014J,508877,M,South West Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass
116,FFF,2013J,546457,M,South Region,A Level or Equivalent,80-90%,35-55,0,90,N,Fail
117,GGG,2014J,558202,M,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn
118,BBB,2014J,537161,F,South Region,HE Qualification,30-40%,35-55,0,60,N,Pass
119,GGG,2013J,630171,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,30,N,Withdrawn
120,CCC,2014B,557247,M,Scotland,Lower Than A Level,40-50%,0-35,0,60,N,Pass
121,BBB,2014J,598574,F,Scotland,Lower Than A Level,50-60%,35-55,0,120,N,Pass
122,DDD,2013J,587362,M,South Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Withdrawn
123,BBB,2013B,593005,F,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
124,DDD,2013B,609450,F,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn
125,BBB,2013J,586376,M,North Western Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
126,DDD,2013J,689132,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction
127,BBB,2014B,598751,F,East Midlands Region,Lower Than A Level,40-50%,35-55,0,90,N,Pass
128,DDD,2013B,626485,M,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail
129,FFF,2014J,614405,M,North Western Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass
130,DDD,2013B,653821,F,Wales,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
131,FFF,2014B,575733,M,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction
132,FFF,2013J,694704,M,Scotland,Lower Than A Level,10-20,0-35,0,60,N,Pass
133,CCC,2014B,539669,M,South East Region,HE Qualification,70-80%,35-55,0,300,N,Pass
134,DDD,2014J,586052,M,East Midlands Region,A Level or Equivalent,90-100%,35-55,0,90,N,Pass
135,FFF,2014B,586207,F,South West Region,HE Qualification,10-20,0-35,0,60,N,Withdrawn
136,BBB,2013J,683333,F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn
137,CCC,2014J,634507,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,90,N,Pass
138,DDD,2014J,623333,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail
139,BBB,2013B,533004,F,North Western Region,Lower Than A Level,90-100%,0-35,0,30,N,Fail
140,BBB,2013J,626556,M,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Pass
141,EEE,2013J,599362,F,South Region,Lower Than A Level,80-90%,0-35,1,90,N,Withdrawn
142,GGG,2013B,618129,F,London Region,A Level or Equivalent,80-90%,0-35,0,30,N,Withdrawn
143,BBB,2014B,585199,F,Scotland,A Level or Equivalent,80-90%,0-35,0,120,N,Pass
144,BBB,2013B,585201,F,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,Pass
145,DDD,2013B,547884,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction
146,FFF,2014J,686612,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
147,BBB,2014J,685525,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Withdrawn
148,FFF,2013J,485575,M,Scotland,Lower Than A Level,10-20,0-35,0,120,N,Distinction
149,DDD,2013J,599201,M,Scotland,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn
150,FFF,2014B,572931,M,Scotland,A Level or Equivalent,90-100%,0-35,0,30,N,Fail
151,EEE,2013J,629088,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,90,N,Pass
152,DDD,2014J,595456,F,South Region,Lower Than A Level,10-20,0-35,1,60,N,Withdrawn
153,GGG,2013B,609245,F,South East Region,Lower Than A Level,20-30%,0-35,0,30,N,Fail
154,FFF,2014B,684704,F,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
155,BBB,2013J,599499,F,West Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Fail
156,DDD,2013B,548331,F,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
157,FFF,2014B,633401,M,Ireland,Lower Than A Level,20-30%,35-55,0,60,N,Pass
158,DDD,2013J,655058,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,210,N,Pass
159,BBB,2014B,544155,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,120,N,Pass
160,BBB,2014B,607638,F,London Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass
161,CCC,2014J,636554,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail
162,FFF,2014B,628649,M,South Region,A Level or Equivalent,90-100%,35-55,0,90,N,Fail
163,FFF,2013J,536215,M,South Region,Lower Than A Level,30-40%,35-55,0,120,N,Withdrawn
164,DDD,2014J,649153,F,East Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
165,BBB,2013J,584281,F,London Region,HE Qualification,10-20,35-55,0,60,N,Fail
166,FFF,2013J,684852,M,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
167,CCC,2014B,635251,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,30,N,Fail
168,DDD,2014B,572125,M,East Anglian Region,HE Qualification,60-70%,0-35,0,120,N,Withdrawn
169,BBB,2014J,478791,M,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,180,N,Withdrawn
170,GGG,2013B,568155,F,East Anglian Region,HE Qualification,50-60%,35-55,0,30,N,Pass
171,FFF,2014J,615387,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
172,FFF,2013J,552729,M,South East Region,Lower Than A Level,50-60%,0-35,0,90,N,Fail
173,DDD,2013B,611657,M,East Anglian Region,A Level or Equivalent,10-20,0-35,1,60,N,Pass
174,DDD,2014J,509295,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
175,BBB,2013J,556131,F,London Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
176,DDD,2014B,605589,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
177,FFF,2013B,548386,M,London Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
178,BBB,2014B,612127,F,West Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
179,CCC,2013J,675159,M,Scotland,A Level or Equivalent,70-80%,0-35,0,120,N,Fail
180,BBB,2014J,402290,F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
181,FFF,2013B,585359,M,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
182,BBB,2013J,612000,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
183,GGG,2013J,579161,M,London Region,Lower Than A Level,0-10%,0-35,1,60,N,Fail
184,BBB,2014J,557012,F,East Midlands Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn
185,BBB,2014J,569108,F,Scotland,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
186,DDD,2013J,574705,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
187,CCC,2014B,608407,M,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,90,N,Withdrawn
188,BBB,2014J,605130,F,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
189,DDD,2013J,634562,M,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Pass
190,CCC,2013J,572398,M,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Pass
191,BBB,2014J,579261,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
192,EEE,2014J,89865,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,30,N,Fail
193,BBB,2014J,634879,F,East Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Distinction
194,FFF,2014B,574508,F,West Midlands Region,Lower Than A Level,70-80%,35-55,0,240,N,Fail
195,GGG,2014B,611402,M,South West Region,A Level or Equivalent,30-40%,0-35,0,30,N,Fail
196,FFF,2014J,2479081,M,London Region,Lower Than A Level,80-90%,35-55,0,120,N,Fail
197,AAA,2014J,605885,M,London Region,HE Qualification,0-10%,0-35,0,60,N,Fail
198,DDD,2013B,494822,F,East Anglian Region,HE Qualification,80-90%,0-35,0,60,N,Withdrawn
199,DDD,2013B,582288,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
200,AAA,2013J,623002,F,East Midlands Region,HE Qualification,0-10%,35-55,0,60,N,Withdrawn
201,GGG,2013J,689267,F,East Anglian Region,Lower Than A Level,10-20,35-55,0,30,N,Pass
202,FFF,2013J,631470,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
203,FFF,2014J,609537,M,South Region,HE Qualification,10-20,0-35,0,60,N,Pass
204,EEE,2014J,420748,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail
205,FFF,2014B,679886,M,South Region,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn
206,CCC,2014J,689759,M,South Region,A Level or Equivalent,50-60%,0-35,0,150,N,Withdrawn
207,DDD,2014J,559573,F,Wales,A Level or Equivalent,40-50%,0-35,0,60,Y,Pass
208,FFF,2013J,687015,F,West Midlands Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass
209,BBB,2013B,610564,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,150,N,Withdrawn
210,DDD,2014B,495239,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Fail
211,DDD,2014J,61911,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass
212,BBB,2014J,610533,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
213,BBB,2014B,583516,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass
214,FFF,2013J,556290,M,London Region,A Level or Equivalent,0-10%,35-55,0,30,N,Fail
215,EEE,2013J,488983,M,London Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
216,DDD,2014B,616265,F,South West Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
217,DDD,2014J,573550,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
218,BBB,2013J,535771,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass
219,BBB,2013J,536331,F,North Western Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
220,BBB,2014J,590308,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
221,BBB,2014J,584191,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,120,N,Pass
222,BBB,2014B,536536,F,South East Region,A Level or Equivalent,80-90%,0-35,0,60,Y,Pass
223,DDD,2013J,536536,M,Wales,A Level or Equivalent,40-50%,0-35,1,120,N,Distinction
224,BBB,2013B,634383,F,North Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
225,FFF,2013B,578704,M,East Midlands Region,Lower Than A Level,80-90%,0-35,0,60,Y,Fail
226,CCC,2014J,648100,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
227,DDD,2013J,595695,M,South Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn
228,BBB,2014J,491804,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Distinction
229,FFF,2013J,598493,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
230,DDD,2013B,577352,F,West Midlands Region,Lower Than A Level,10-20,35-55,1,60,N,Pass
231,BBB,2014J,624585,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
232,DDD,2014J,695471,M,Scotland,Lower Than A Level,60-70%,0-35,0,90,N,Withdrawn
233,FFF,2014J,544453,M,South East Region,A Level or Equivalent,40-50%,0-35,0,90,N,Withdrawn
234,DDD,2014B,628192,M,South West Region,Lower Than A Level,70-80%,35-55,0,90,N,Pass
235,FFF,2014J,498650,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,N,Fail
236,CCC,2014J,684663,M,South Region,A Level or Equivalent,10-20,0-35,0,90,N,Fail
237,FFF,2013J,599108,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,30,N,Pass
238,DDD,2013J,598629,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,90,N,Withdrawn
239,BBB,2014B,657048,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
240,FFF,2013J,631998,M,South Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass
241,DDD,2013B,695700,F,Scotland,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
242,BBB,2013J,599499,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Distinction
243,BBB,2013B,577460,F,East Anglian Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn
244,BBB,2013J,588473,M,Scotland,HE Qualification,10-20,0-35,0,60,N,Withdrawn
245,DDD,2013J,653605,F,North Region,A Level or Equivalent,30-40%,0-35,0,60,Y,Distinction
246,BBB,2013B,502004,F,South East Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn
247,FFF,2013B,609245,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail
248,DDD,2013B,626588,M,Wales,A Level or Equivalent,60-70%,0-35,0,30,N,Pass
249,BBB,2013J,593000,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
250,BBB,2013J,649791,F,London Region,HE Qualification,20-30%,0-35,0,60,N,Fail
251,BBB,2013B,607607,F,Scotland,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
252,FFF,2013J,574831,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
253,DDD,2014J,634868,M,South East Region,HE Qualification,40-50%,35-55,0,60,N,Pass
254,DDD,2013J,519013,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
255,CCC,2014J,619013,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass
256,CCC,2014J,561913,M,London Region,A Level or Equivalent,,0-35,0,60,N,Pass
257,FFF,2014J,576191,F,East Anglian Region,HE Qualification,20-30%,0-35,0,60,N,Pass
258,BBB,2013J,2580562,F,Scotland,HE Qualification,30-40%,0-35,0,90,Y,Fail
259,FFF,2013J,684918,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail
260,BBB,2014J,605883,M,South East Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
261,BBB,2014B,605309,F,South West Region,Lower Than A Level,80-90%,35-55,0,60,N,Fail
262,BBB,2014B,611402,F,South East Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail
263,BBB,2014B,552558,F,Ireland,Lower Than A Level,20-30%,0-35,0,120,N,Pass
264,GGG,2014J,627786,F,North Region,HE Qualification,60-70%,0-35,0,30,N,Fail
265,DDD,2013B,536195,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
266,DDD,2013J,624306,M,North Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
267,CCC,2013J,566172,M,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
268,FFF,2014J,585100,M,East Midlands Region,HE Qualification,0-10%,35-55,0,60,N,Withdrawn
269,BBB,2013B,536696,F,South East Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail
270,DDD,2013J,2627398,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
271,DDD,2014J,615016,M,East Anglian Region,Lower Than A Level,0-10%,0-35,0,120,N,Pass
272,FFF,2013B,599402,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
273,BBB,2014B,64909,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
274,FFF,2014B,629495,M,North Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
275,GGG,2014B,689309,F,Yorkshire Region,HE Qualification,70-80%,0-35,0,30,N,Pass
