,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
17,GP,F,17,U,GT3,T,2,2,other,services,course,father,3,1,0,yes,yes,yes,no,yes,yes,yes,yes,4,5,5,1,1,5,0,14,13,13
18,GP,F,18,U,GT3,T,3,2,services,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,1,3,0,6,6,7
19,GP,F,17,R,GT3,T,2,3,other,services,course,mother,2,2,0,no,no,no,yes,no,yes,yes,yes,4,2,3,1,2,3,4,10,13,13
20,GP,M,17,U,LE3,T,3,3,services,services,course,mother,1,2,1,no,yes,yes,yes,no,yes,yes,no,4,3,3,1,1,3,0,5,5,5
21,GP,M,17,U,GT3,T,2,1,health,other,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,5,5,3,5,5,0,9,9,10
22,GP,F,15,R,GT3,T,1,2,other,other,reputation,mother,2,1,0,no,yes,yes,yes,yes,yes,no,yes,4,5,3,1,1,5,4,12,14,14
23,GP,F,19,U,GT3,T,3,2,health,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,2,2,1,1,5,0,8,7,6
24,GP,F,17,U,GT3,T,4,3,teacher,other,course,father,2,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,2,1,1,3,0,12,10,10
25,GP,M,19,R,GT3,T,1,3,other,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,yes,5,3,4,5,5,3,6,11,11,11
26,GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,1,4,2,17,17,17
27,GP,M,17,U,GT3,T,2,1,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,1,0,10,11,11
28,GP,F,17,U,GT3,T,3,2,other,services,other,father,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,2,2,5,0,10,10,10
29,GP,F,16,U,GT3,T,4,4,services,other,reputation,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,2,1,4,4,4,12,14,12
30,MS,M,16,U,GT3,T,3,3,other,other,home,mother,1,2,0,no,no,yes,yes,yes,yes,no,yes,4,4,4,1,1,3,2,12,12,11
31,GP,F,17,U,GT3,T,3,4,other,services,course,father,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4,3,3,1,2,4,0,9,10,10
32,GP,M,18,U,GT3,A,2,3,services,services,course,mother,1,3,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,5,0,14,14,14
33,GP,F,16,U,LE3,T,4,4,teacher,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,1,1,2,7,5,6
34,GP,M,16,U,GT3,T,2,1,services,other,reputation,other,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,4,1,1,5,6,8,8,8
35,GP,M,17,R,GT3,T,2,2,other,other,reputation,mother,2,1,0,no,no,yes,yes,yes,yes,yes,yes,4,4,4,1,2,3,0,7,0,0
36,GP,M,16,U,GT3,T,2,1,services,other,reputation,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,4,4,3,2,4,10,10,12,12
37,GP,M,16,U,LE3,T,4,4,services,services,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,4,2,3,1,1,2,2,9,8,9
38,GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,1,2,3,6,13,16,15
39,GP,M,17,U,GT3,T,3,3,services,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,4,4,8,10,9
40,MS,M,16,U,GT3,T,3,3,health,other,course,father,2,2,0,no,no,no,no,yes,yes,yes,no,4,2,3,1,1,5,0,6,5,5
41,MS,F,16,U,GT3,T,2,2,other,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,no,no,3,3,3,1,4,4,0,12,12,12
42,GP,F,15,U,LE3,T,4,4,teacher,services,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,4,5,2,11,10,12
43,GP,M,17,U,LE3,A,4,4,at_home,other,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,1,1,1,0,9,9,0
44,GP,M,17,U,GT3,T,3,2,services,other,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,4,2,3,5,4,6,7,7
45,GP,F,18,U,GT3,T,1,2,services,services,home,mother,2,4,0,no,yes,yes,yes,no,yes,yes,no,3,3,5,1,1,3,0,8,0,0
46,GP,M,17,U,GT3,T,2,2,other,services,reputation,mother,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,3,3,2,2,5,2,9,9,9
47,GP,M,16,U,GT3,T,2,3,other,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,1,1,3,0,7,6,6
48,GP,M,16,U,GT3,T,4,4,teacher,services,home,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,2,3,4,2,1,3,2,5,5,4
49,GP,F,18,R,GT3,T,3,4,health,other,course,mother,1,3,0,no,no,yes,yes,no,yes,yes,no,5,3,3,1,1,2,0,7,7,6
50,GP,F,16,R,GT3,T,4,3,teacher,services,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,4,1,2,5,4,13,14,14
51,GP,F,16,U,GT3,T,4,4,teacher,teacher,course,mother,2,2,2,no,no,yes,yes,no,yes,yes,no,4,3,5,1,1,3,0,14,14,14
52,GP,F,18,U,LE3,T,2,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,5,0,7,0,0
53,GP,F,17,U,GT3,T,3,2,services,services,course,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,1,0,9,9,0
54,GP,F,17,U,LE3,T,2,2,other,other,course,mother,1,2,0,yes,yes,yes,yes,no,yes,yes,no,4,3,2,1,4,5,8,8,9,8
55,GP,F,15,U,LE3,T,3,2,other,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,5,0,10,10,0
56,GP,F,15,R,GT3,T,3,3,other,services,course,father,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,8,9,9
57,GP,M,18,U,GT3,T,4,3,services,other,course,father,2,1,0,no,no,no,yes,yes,yes,yes,yes,4,3,5,1,1,5,4,13,13,13
58,GP,M,16,U,GT3,T,3,3,services,services,course,mother,2,2,0,no,yes,yes,yes,no,yes,yes,no,4,2,3,1,2,5,4,13,13,13
59,GP,M,18,U,GT3,T,4,3,other,other,home,father,1,2,0,no,yes,yes,no,no,yes,yes,no,4,5,3,1,3,5,0,12,12,11
60,GP,M,18,U,GT3,T,2,1,services,other,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,6,8,8,8
61,GP,F,17,U,GT3,T,4,4,teacher,teacher,reputation,mother,2,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,12,11,11
62,GP,F,15,U,GT3,T,4,4,other,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,4,3,4,10,11,11
63,GP,M,16,U,LE3,T,2,1,other,other,course,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,2,3,2,2,3,8,10,11,10
64,GP,F,16,R,LE3,T,1,2,health,services,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,1,4,1,3,1,0,7,7,0
65,GP,F,16,U,GT3,T,1,1,at_home,at_home,course,mother,1,2,3,no,no,no,no,no,yes,yes,yes,2,2,3,1,3,3,6,7,6,6
66,GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,4,5,4,12,13,13
67,GP,F,15,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,1,3,1,2,3,2,6,5,5
68,GP,F,17,U,GT3,T,1,1,other,other,course,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,3,1,2,4,4,5,5,0
69,GP,M,16,U,GT3,T,2,2,services,services,course,mother,1,3,0,no,yes,no,no,yes,yes,no,no,5,4,4,1,3,5,4,14,14,14
70,GP,F,17,U,GT3,T,4,4,services,other,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,5,3,3,1,2,2,4,10,10,10
71,GP,F,16,U,GT3,T,2,2,other,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,2,3,4,38,10,9,10
72,GP,F,16,U,GT3,T,1,3,other,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,2,3,3,1,1,5,0,13,12,14
73,GP,F,18,U,GT3,T,3,2,services,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,3,4,1,1,1,0,12,12,13
74,GP,M,19,U,GT3,T,2,1,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,1,1,4,0,7,6,6
75,GP,F,19,R,GT3,T,4,4,services,services,home,mother,1,1,0,no,no,no,yes,yes,yes,no,no,3,3,3,3,4,4,0,10,10,10
76,GP,F,18,R,GT3,T,4,4,teacher,teacher,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,2,1,1,5,2,13,12,12
77,GP,F,16,R,GT3,T,2,3,other,services,course,mother,2,3,0,no,no,no,no,no,yes,yes,no,5,3,3,1,2,5,0,8,8,8
78,GP,M,15,U,LE3,T,2,2,other,other,reputation,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,4,3,3,1,2,3,2,6,5,5
79,GP,F,15,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,1,6,6,6,8
80,GP,M,18,U,GT3,T,3,4,other,other,home,father,1,2,1,no,yes,yes,yes,yes,no,yes,yes,4,3,4,1,1,5,0,9,9,10
81,GP,M,16,U,GT3,T,3,2,other,other,course,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,4,3,2,3,5,0,18,19,20
82,GP,F,15,U,GT3,T,3,2,services,other,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,11,10,10
83,GP,M,17,U,GT3,T,1,1,at_home,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,5,3,4,2,3,5,4,13,14,15
84,GP,M,18,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,1,3,3,2,2,5,0,10,9,10
85,GP,F,17,U,GT3,T,3,3,other,other,other,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,no,5,3,2,1,2,3,0,8,8,8
86,GP,M,16,U,LE3,T,2,2,other,services,home,mother,1,2,0,yes,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,4,6,17,18,18
87,GP,M,18,U,GT3,T,1,1,at_home,other,course,mother,1,3,0,no,yes,yes,no,yes,yes,no,no,3,3,3,1,1,5,0,16,16,16
88,GP,M,16,R,GT3,T,2,2,services,other,other,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,1,1,2,4,9,11,11
89,GP,F,18,U,GT3,T,2,1,other,other,home,mother,1,2,0,yes,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,3,0,10,10,10
90,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,1,0,no,yes,no,no,yes,yes,no,no,3,3,5,1,2,4,4,14,14,14
91,GP,M,15,U,LE3,T,4,4,services,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,5,1,5,5,0,7,6,6
92,GP,F,15,U,GT3,T,4,4,other,teacher,course,other,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,9,0,0
93,GP,M,18,U,GT3,T,4,3,services,other,reputation,other,1,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,4,4,1,2,6,12,12
94,GP,F,15,U,LE3,T,4,4,health,other,course,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,1,3,1,1,3,0,11,11,11
95,GP,M,16,U,GT3,T,1,1,at_home,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,8,6,9
96,GP,M,18,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,1,4,0,13,13,12
97,GP,F,17,U,GT3,T,2,1,other,other,reputation,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4,4,2,1,1,2,14,10,0,0
98,GP,F,18,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,3,2,3,2,3,0,16,15,15
99,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,3,4,5,5,6,9,9,10
100,GP,F,15,U,GT3,T,2,2,other,other,reputation,mother,1,2,1,no,yes,no,no,yes,yes,yes,no,3,4,5,1,1,5,0,12,11,11
101,GP,F,18,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,4,5,0,7,0,0
102,GP,M,19,U,GT3,T,1,2,other,other,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,yes,5,4,4,1,2,2,6,9,9,9
103,GP,M,17,U,GT3,T,4,3,teacher,services,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,3,3,2,1,1,5,4,7,6,6
104,GP,F,17,U,GT3,T,1,2,other,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,5,5,2,1,4,5,4,6,5,4
105,GP,M,18,U,GT3,T,4,4,services,other,course,father,1,2,0,no,no,yes,yes,yes,yes,yes,yes,3,3,1,1,1,3,2,6,7,6
106,GP,F,15,U,LE3,T,4,4,services,at_home,home,mother,2,2,0,no,yes,no,yes,yes,yes,no,yes,5,3,3,3,4,3,4,11,11,11
107,GP,F,17,U,GT3,T,4,4,teacher,services,home,mother,1,2,0,no,no,yes,no,no,yes,yes,yes,4,3,2,1,1,5,2,8,8,9
108,GP,F,15,U,GT3,T,2,2,health,other,reputation,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,5,3,1,1,1,5,0,14,13,14
109,GP,F,16,U,GT3,T,4,3,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,4,3,1,2,4,0,14,14,14
110,GP,M,16,U,LE3,T,3,1,health,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,2,3,2,1,5,0,6,0,0
111,GP,F,17,U,GT3,T,3,2,services,other,reputation,mother,1,1,0,no,yes,yes,yes,no,no,yes,no,4,3,3,1,2,3,14,10,10,9
112,GP,M,16,R,LE3,T,3,4,teacher,other,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,5,5,2,4,5,8,7,6,0
113,GP,M,16,U,GT3,T,2,2,other,other,other,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,5,2,2,1,2,2,6,7,8,8
114,GP,M,17,U,GT3,T,4,4,teacher,teacher,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,3,3,4,5,0,7,6,0
115,GP,F,16,U,GT3,A,3,2,services,other,course,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,10,0,9
116,GP,F,15,U,LE3,T,4,4,teacher,other,reputation,father,3,2,0,no,yes,yes,no,yes,yes,yes,yes,4,2,3,1,1,5,0,10,9,9
117,GP,M,16,U,GT3,T,2,1,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,13
118,GP,M,18,U,GT3,T,3,2,services,other,reputation,mother,1,2,0,yes,yes,yes,no,no,yes,yes,no,4,2,1,1,3,4,0,11,13,13
119,GP,F,18,U,LE3,T,4,3,other,other,course,father,1,3,0,no,no,yes,yes,yes,yes,yes,no,5,5,5,1,1,3,0,11,11,11
120,GP,F,16,R,GT3,T,4,4,services,teacher,reputation,father,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,4,3,1,1,4,0,11,10,9
121,GP,F,18,U,LE3,T,3,2,other,other,other,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,5,5,1,2,5,4,14,15,15
122,GP,M,15,U,GT3,T,2,1,at_home,at_home,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,yes,4,4,3,1,1,3,0,14,14,15
123,GP,F,15,U,GT3,T,4,4,other,teacher,home,father,1,2,0,no,yes,no,yes,yes,no,yes,yes,4,2,4,1,1,4,0,11,11,11
124,MS,F,19,U,GT3,T,4,4,teacher,services,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,2,2,8,9,10
125,GP,M,19,U,LE3,T,2,2,other,other,course,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,2,2,1,1,1,2,7,7,7
126,GP,M,16,U,GT3,T,2,2,other,other,reputation,mother,1,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,5,4,12,14,13
127,GP,F,18,U,GT3,T,4,4,other,other,home,mother,1,1,0,no,no,yes,yes,yes,yes,yes,yes,4,3,3,1,1,4,3,14,15,15
128,GP,F,18,U,LE3,T,3,3,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,2,11,12,11
129,GP,F,17,U,LE3,T,3,3,other,services,home,mother,2,2,2,no,no,no,yes,yes,yes,yes,no,5,5,5,5,5,5,0,6,6,6
130,GP,F,18,R,GT3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,2,2,1,1,5,2,13,13,13
131,GP,F,18,U,GT3,T,4,4,teacher,services,course,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,3,2,1,1,3,0,12,11,10
132,GP,M,15,U,GT3,T,2,2,teacher,other,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,1,1,1,5,2,6,5,5
133,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,4,3,1,1,3,0,7,0,0
134,GP,F,17,U,GT3,T,2,1,services,other,course,other,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,5,5,1,4,5,2,7,7,6
135,GP,F,15,R,GT3,T,4,4,teacher,services,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,5,4,1,2,5,2,10,10,10
136,GP,M,15,U,GT3,T,3,3,services,other,reputation,father,1,2,0,no,no,no,yes,yes,yes,no,no,5,4,4,1,1,5,2,14,14,14
137,GP,F,17,R,LE3,T,4,4,teacher,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,8,6,10,4
138,GP,M,19,U,GT3,T,3,3,teacher,other,reputation,father,2,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,3,1,4,11,12,12
139,GP,F,17,U,LE3,T,1,1,services,other,course,mother,3,2,0,no,yes,no,yes,no,yes,yes,no,4,3,3,2,2,5,4,10,9,8
140,GP,M,17,U,GT3,T,1,2,other,other,course,mother,1,3,0,no,yes,no,yes,no,yes,yes,yes,4,2,2,1,1,2,10,11,10,11
141,GP,M,16,R,GT3,T,4,4,teacher,other,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,4,3,2,4,3,0,6,6,5
142,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,3,0,8,7,8
143,GP,F,17,U,LE3,T,1,1,other,other,course,mother,3,3,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,2,3,5,2,12,11,11
144,GP,F,16,U,GT3,T,1,1,other,other,reputation,other,1,2,0,no,no,yes,no,yes,yes,yes,no,4,4,3,2,3,5,0,9,0,0
145,GP,M,18,U,GT3,T,4,4,other,teacher,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,4,2,3,1,11,12,11,10
146,GP,F,15,U,GT3,T,2,2,services,services,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,1,2,1,0,16,15,15
147,GP,M,17,U,GT3,T,3,3,other,other,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,1,2,3,2,10,9,9
148,GP,F,17,U,GT3,T,2,3,services,other,course,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,4,3,1,1,5,0,9,10,8
149,GP,M,15,R,GT3,T,1,1,other,other,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,4,3,1,2,2,2,18,18,18
150,GP,F,18,U,GT3,T,2,1,other,other,reputation,mother,2,2,0,no,no,yes,no,no,yes,yes,yes,4,3,3,1,2,5,2,15,15,16
151,GP,F,18,U,GT3,T,2,3,services,other,course,mother,1,1,0,no,yes,no,no,yes,yes,no,no,4,3,3,1,4,5,8,13,14,14
152,GP,F,17,U,GT3,T,3,4,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,2,5,0,13,14,14
153,GP,F,18,U,GT3,T,4,4,services,services,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,3,2,1,2,5,1,6,6,6
154,GP,F,15,U,LE3,T,1,3,health,other,reputation,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,5,1,2,3,2,9,9,8
155,GP,F,17,U,GT3,T,2,2,services,other,course,mother,1,3,0,no,no,yes,no,yes,yes,yes,no,4,4,4,1,1,3,20,12,12,12
156,GP,F,16,R,GT3,T,4,4,other,other,reputation,father,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,3,3,1,1,2,0,10,11,11
157,GP,M,17,U,GT3,T,4,4,other,health,home,mother,1,3,0,no,no,yes,yes,no,yes,yes,no,4,5,5,4,5,4,4,8,8,9
158,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,2,0,no,no,no,no,no,yes,no,yes,3,4,5,1,1,4,0,11,12,12
159,GP,M,16,U,LE3,T,4,2,services,services,other,mother,1,3,0,no,no,yes,yes,yes,yes,no,no,5,3,4,1,1,5,0,15,15,15
160,GP,F,16,U,LE3,T,2,2,other,at_home,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,5,1,1,5,6,10,10,10
161,GP,M,17,U,LE3,T,3,2,other,services,home,father,1,1,0,no,no,yes,yes,yes,yes,no,no,4,2,2,1,3,5,8,7,6,7
162,GP,M,17,U,GT3,T,4,3,other,other,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,1,1,4,4,10,9,9
163,GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,3,3,3,1,3,3,4,7,6,6
164,GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,2,1,0,no,yes,no,yes,no,yes,yes,no,5,4,2,1,1,2,2,6,6,6
165,GP,M,15,U,GT3,T,4,4,services,services,home,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,4,12,11,11
166,GP,F,17,U,GT3,T,3,1,services,other,home,mother,2,2,1,no,no,no,yes,yes,yes,yes,no,4,4,2,1,1,3,4,7,10,9
167,MS,F,16,U,LE3,T,3,1,health,other,home,mother,1,4,0,no,yes,yes,no,yes,yes,yes,no,4,1,2,1,1,5,0,13,14,14
168,GP,F,17,U,GT3,T,4,4,health,health,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,3,3,3,2,3,3,4,9,9,8
169,GP,F,15,U,GT3,T,2,1,at_home,other,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,5,3,4,1,3,4,0,10,7,0
170,GP,F,16,U,GT3,T,3,2,services,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,7,9,9
171,GP,M,17,U,GT3,T,2,2,services,other,home,mother,1,2,0,yes,yes,no,no,yes,yes,yes,yes,4,3,3,1,1,5,7,11,10,9
172,GP,F,17,U,LE3,T,2,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,2,1,1,2,6,10,10,11
173,GP,F,17,U,LE3,T,4,4,services,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,2,1,1,3,10,15,15,15
174,GP,M,16,U,GT3,A,2,2,services,other,course,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,2,1,1,1,5,2,10,8,8
175,GP,M,16,U,GT3,A,2,2,at_home,other,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,8,8,8
